time_ms,power_w,wall_time_str
2652,55.883,04:16:07.158
2653,55.883,04:16:07.178
2654,55.883,04:16:07.178
2655,55.883,04:16:07.178
2656,55.883,04:16:07.178
2657,55.883,04:16:07.178
2658,55.883,04:16:07.178
2659,55.883,04:16:07.178
2660,55.883,04:16:07.178
2661,55.883,04:16:07.178
2662,55.883,04:16:07.178
2663,55.883,04:16:07.178
2664,55.883,04:16:07.178
2665,55.883,04:16:07.178
2666,55.883,04:16:07.178
2667,55.883,04:16:07.178
2668,55.883,04:16:07.178
2669,55.883,04:16:07.178
2670,55.883,04:16:07.178
2671,55.883,04:16:07.178
2672,55.883,04:16:07.178
2673,55.94,04:16:07.199
2674,55.94,04:16:07.199
2675,55.94,04:16:07.199
2676,55.94,04:16:07.199
2677,55.94,04:16:07.199
2678,55.94,04:16:07.199
2679,55.94,04:16:07.199
2680,55.94,04:16:07.199
2681,55.94,04:16:07.199
2682,55.94,04:16:07.199
2683,55.94,04:16:07.199
2684,55.94,04:16:07.199
2685,55.94,04:16:07.199
2686,55.94,04:16:07.199
2687,55.94,04:16:07.199
2688,55.94,04:16:07.199
2689,55.94,04:16:07.199
2690,55.94,04:16:07.199
2691,55.94,04:16:07.199
2692,55.94,04:16:07.199
2693,55.94,04:16:07.199
2694,55.997,04:16:07.219
2695,55.997,04:16:07.219
2696,55.997,04:16:07.219
2697,55.997,04:16:07.219
2698,55.997,04:16:07.219
2699,55.997,04:16:07.219
2700,55.997,04:16:07.219
2701,55.997,04:16:07.219
2702,55.997,04:16:07.219
2703,55.997,04:16:07.219
2704,55.997,04:16:07.219
2705,55.997,04:16:07.219
2706,55.997,04:16:07.219
2707,55.997,04:16:07.219
2708,55.997,04:16:07.219
2709,55.997,04:16:07.219
2710,55.997,04:16:07.219
2711,55.997,04:16:07.219
2712,55.997,04:16:07.219
2713,55.997,04:16:07.219
2714,55.827,04:16:07.240
2715,55.827,04:16:07.240
2716,55.827,04:16:07.240
2717,55.827,04:16:07.240
2718,55.827,04:16:07.240
2719,55.827,04:16:07.240
2720,55.827,04:16:07.240
2721,55.827,04:16:07.240
2722,55.827,04:16:07.240
2723,55.827,04:16:07.240
2724,55.827,04:16:07.240
2725,55.827,04:16:07.240
2726,55.827,04:16:07.240
2727,55.827,04:16:07.240
2728,55.827,04:16:07.240
2729,55.827,04:16:07.240
2730,55.827,04:16:07.240
2731,55.827,04:16:07.240
2732,55.827,04:16:07.240
2733,55.827,04:16:07.240
2734,55.827,04:16:07.260
2735,55.827,04:16:07.260
2736,55.827,04:16:07.260
2737,55.827,04:16:07.260
2738,55.827,04:16:07.260
2739,55.827,04:16:07.260
2740,55.827,04:16:07.260
2741,55.827,04:16:07.260
2742,55.827,04:16:07.260
2743,55.827,04:16:07.260
2744,55.827,04:16:07.260
2745,55.827,04:16:07.260
2746,55.827,04:16:07.260
2747,55.827,04:16:07.260
2748,55.827,04:16:07.260
2749,55.827,04:16:07.260
2750,55.827,04:16:07.260
2751,55.827,04:16:07.260
2752,55.827,04:16:07.260
2753,55.827,04:16:07.260
2754,55.997,04:16:07.281
2755,55.997,04:16:07.281
2756,55.997,04:16:07.281
2757,55.997,04:16:07.281
2758,55.997,04:16:07.281
2759,55.997,04:16:07.281
2760,55.997,04:16:07.281
2761,55.997,04:16:07.281
2762,55.997,04:16:07.281
2763,55.997,04:16:07.281
2764,55.997,04:16:07.281
2765,55.997,04:16:07.281
2766,55.997,04:16:07.281
2767,55.997,04:16:07.281
2768,55.997,04:16:07.281
2769,55.997,04:16:07.281
2770,55.997,04:16:07.281
2771,55.997,04:16:07.281
2772,55.997,04:16:07.281
2773,55.997,04:16:07.281
2774,55.94,04:16:07.301
2775,55.94,04:16:07.301
2776,55.94,04:16:07.301
2777,55.94,04:16:07.301
2778,55.94,04:16:07.301
2779,55.94,04:16:07.301
2780,55.94,04:16:07.301
2781,55.94,04:16:07.301
2782,55.94,04:16:07.301
2783,55.94,04:16:07.301
2784,55.94,04:16:07.301
2785,55.94,04:16:07.301
2786,55.94,04:16:07.301
2787,55.94,04:16:07.301
2788,55.94,04:16:07.301
2789,55.94,04:16:07.301
2790,55.94,04:16:07.301
2791,55.94,04:16:07.301
2792,55.94,04:16:07.301
2793,55.94,04:16:07.301
2794,55.94,04:16:07.322
2795,55.94,04:16:07.322
2796,55.94,04:16:07.322
2797,55.94,04:16:07.322
2798,55.94,04:16:07.322
2799,55.94,04:16:07.322
2800,55.94,04:16:07.322
2801,55.94,04:16:07.322
2802,55.94,04:16:07.322
2803,55.94,04:16:07.322
2804,55.94,04:16:07.322
2805,55.94,04:16:07.322
2806,55.94,04:16:07.322
2807,55.94,04:16:07.322
2808,55.94,04:16:07.322
2809,55.94,04:16:07.322
2810,55.94,04:16:07.322
2811,55.94,04:16:07.322
2812,55.94,04:16:07.322
2813,55.94,04:16:07.322
